epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4063,1.35972,0.71807,0.95715,0.92928,0.92706,0.94997,0.79468,0.6682,1.30722,0.66534,0.94103,4.287e-05,4.287e-05,4.287e-05
2,35.2127,1.34882,0.72818,0.93123,0.92079,0.93113,0.9519,0.80021,0.66634,1.29525,0.64357,0.93805,9.90397e-05,9.90397e-05,9.90397e-05
3,37.0722,1.35318,0.72273,0.9522,0.85379,0.96818,0.9383,0.77514,0.64725,1.28882,0.7025,0.93904,0.000154078,0.000154078,0.000154078
4,39.079,1.33112,0.72037,0.93903,0.86211,0.93718,0.9379,0.78663,0.65027,1.26624,0.76179,0.93081,0.000207984,0.000207984,0.000207984
5,40.9703,1.37297,0.75402,0.95271,0.90024,0.9484,0.95528,0.79096,0.68057,1.27068,0.6973,0.93054,0.000260758,0.000260758,0.000260758
6,42.8772,1.35981,0.77796,0.95032,0.89446,0.94347,0.95664,0.8048,0.67028,1.29188,0.67546,0.93555,0.000312401,0.000312401,0.000312401
7,44.861,1.37832,0.72136,0.97384,0.92295,0.93094,0.96674,0.81855,0.67861,1.31025,0.66859,0.94224,0.000362912,0.000362912,0.000362912
8,46.7705,1.41956,0.78071,0.95469,0.85542,0.978,0.96087,0.80719,0.67818,1.31378,0.66893,0.93933,0.000412291,0.000412291,0.000412291
9,48.6125,1.35278,0.75821,0.93011,0.90181,0.93308,0.95828,0.82193,0.68938,1.28862,0.65245,0.93554,0.000460538,0.000460538,0.000460538
10,50.516,1.37135,0.75044,0.93342,0.90685,0.93596,0.95944,0.81995,0.68094,1.31623,0.66707,0.94122,0.000507654,0.000507654,0.000507654
11,52.2359,1.41582,0.74831,0.94191,0.85166,0.9641,0.92666,0.79478,0.6238,1.32018,0.67013,0.9402,0.000553637,0.000553637,0.000553637
12,53.9368,1.41579,0.8069,0.96715,0.86599,0.96791,0.93829,0.81664,0.65249,1.3176,0.6691,0.94095,0.000598489,0.000598489,0.000598489
13,55.699,1.36773,0.76962,0.95059,0.82811,0.98718,0.9424,0.80593,0.63659,1.34854,0.66367,0.94599,0.00064221,0.00064221,0.00064221
14,57.492,1.36619,0.72128,0.94247,0.89238,0.94793,0.97483,0.78258,0.64477,1.35943,0.66843,0.95163,0.000684798,0.000684798,0.000684798
15,59.315,1.37117,0.73276,0.95836,0.96995,0.9503,0.98576,0.80862,0.67243,1.31357,0.66245,0.94029,0.000726255,0.000726255,0.000726255
16,61.161,1.33779,0.72659,0.95115,0.97276,0.96961,0.98968,0.85933,0.67233,1.32258,0.65789,0.9392,0.00076658,0.00076658,0.00076658
17,63.0185,1.44786,0.79004,0.96228,0.97178,0.96892,0.98906,0.87153,0.68687,1.31054,0.6801,0.94668,0.000805773,0.000805773,0.000805773
18,64.8559,1.39557,0.74719,0.9456,0.96145,0.97564,0.98928,0.78115,0.67191,1.36268,0.69105,0.95117,0.000843835,0.000843835,0.000843835
19,66.729,1.40042,0.74616,0.94877,0.93892,0.98453,0.98708,0.75341,0.67531,1.31364,0.65653,0.94666,0.000880764,0.000880764,0.000880764
20,68.6113,1.46138,0.79821,0.96152,0.94496,0.96351,0.98467,0.74403,0.63143,1.31294,0.67073,0.94568,0.000916562,0.000916562,0.000916562
21,70.4488,1.39716,0.80301,0.94532,0.94263,0.98027,0.98334,0.80982,0.64035,1.3429,0.68922,0.95191,0.000951228,0.000951228,0.000951228
22,72.2765,1.41668,0.76671,0.98157,0.94661,0.96771,0.98898,0.83048,0.68039,1.34299,0.70481,0.95442,0.000984762,0.000984762,0.000984762
23,74.1259,1.38788,0.72485,0.93617,0.95558,0.96996,0.99008,0.7938,0.65418,1.35229,0.68288,0.94866,0.00101717,0.00101717,0.00101717
24,76.0239,1.43838,0.76866,0.96109,0.9712,0.97949,0.98846,0.71744,0.61444,1.39948,0.68141,0.96418,0.00104844,0.00104844,0.00104844
25,77.8787,1.48284,0.77805,0.98583,0.96162,0.9859,0.98731,0.84091,0.66055,1.35015,0.68207,0.95355,0.00107857,0.00107857,0.00107857
26,79.712,1.42859,0.74304,0.94652,0.93466,0.98981,0.98276,0.82729,0.67303,1.33937,0.68838,0.95248,0.00107532,0.00107532,0.00107532
27,81.5477,1.39304,0.79081,0.94918,0.89421,0.98507,0.98182,0.83395,0.66475,1.33293,0.68421,0.94833,0.00106118,0.00106118,0.00106118
28,83.3073,1.41483,0.75018,0.94712,0.81605,0.92896,0.96654,0.7677,0.64723,1.34913,0.68388,0.94893,0.00104703,0.00104703,0.00104703
29,85.1308,1.39661,0.73925,0.96815,0.90983,0.97756,0.98637,0.8602,0.68803,1.37383,0.67845,0.95837,0.00103288,0.00103288,0.00103288
30,86.9099,1.45331,0.76039,0.96854,0.88994,0.9811,0.97505,0.84992,0.65932,1.31913,0.68761,0.94472,0.00101873,0.00101873,0.00101873
31,88.7278,1.42315,0.76365,0.96059,0.90024,0.95293,0.97445,0.75293,0.63515,1.35502,0.72827,0.95495,0.00100459,0.00100459,0.00100459
32,90.5432,1.41341,0.7829,0.97808,0.92187,0.96076,0.97977,0.77442,0.66088,1.33762,0.71917,0.94502,0.00099044,0.00099044,0.00099044
33,92.3574,1.42317,0.76693,0.95642,0.9695,0.98096,0.9861,0.80773,0.65212,1.33776,0.67519,0.94669,0.000976293,0.000976293,0.000976293
34,94.1523,1.34341,0.73964,0.94458,0.95656,0.97618,0.98686,0.84109,0.6712,1.39284,0.69156,0.95635,0.000962146,0.000962146,0.000962146
35,95.9413,1.4514,0.79985,0.96083,0.9096,0.9746,0.98387,0.79408,0.6436,1.38218,0.73103,0.95342,0.000947999,0.000947999,0.000947999
36,97.7622,1.44267,0.77586,0.94842,0.91783,0.98024,0.98614,0.80009,0.64927,1.31084,0.67408,0.94264,0.000933851,0.000933851,0.000933851
37,99.5625,1.42442,0.73597,0.93326,0.87235,0.9544,0.96613,0.74853,0.63782,1.32872,0.69737,0.94939,0.000919704,0.000919704,0.000919704
38,101.374,1.39467,0.74337,0.94901,0.90302,0.98006,0.97949,0.70891,0.63621,1.33233,0.69923,0.94483,0.000905557,0.000905557,0.000905557
39,103.18,1.33979,0.71262,0.92409,0.90259,0.95431,0.93876,0.76474,0.63139,1.34698,0.68717,0.94435,0.00089141,0.00089141,0.00089141
40,105.107,1.39875,0.72525,0.95788,0.93973,0.95071,0.94716,0.82804,0.64244,1.32925,0.67348,0.94279,0.000877263,0.000877263,0.000877263
41,106.906,1.30176,0.68597,0.94843,0.90308,0.95855,0.96299,0.80511,0.64366,1.31136,0.65381,0.94504,0.000863116,0.000863116,0.000863116
42,108.766,1.3594,0.71499,0.96237,0.91749,0.92431,0.94742,0.80813,0.64553,1.29783,0.65294,0.93785,0.000848969,0.000848969,0.000848969
43,110.557,1.32721,0.69395,0.93324,0.92293,0.98818,0.98268,0.79859,0.64691,1.32932,0.6555,0.94302,0.000834822,0.000834822,0.000834822
44,112.355,1.32581,0.71307,0.92209,0.96425,0.95946,0.98832,0.86091,0.66683,1.33926,0.65547,0.94624,0.000820675,0.000820675,0.000820675
45,114.146,1.35976,0.72105,0.92568,0.97331,0.94684,0.9869,0.749,0.64383,1.30707,0.644,0.94096,0.000806528,0.000806528,0.000806528
46,115.954,1.31095,0.72815,0.94458,0.93355,0.92914,0.94534,0.79563,0.64029,1.30767,0.64699,0.93934,0.00079238,0.00079238,0.00079238
47,117.772,1.29986,0.71705,0.93538,0.94109,0.98328,0.9891,0.7764,0.64751,1.31541,0.64288,0.93984,0.000778233,0.000778233,0.000778233
48,119.612,1.41736,0.73549,0.96147,0.96562,0.96917,0.98863,0.85406,0.66621,1.33106,0.65553,0.93929,0.000764086,0.000764086,0.000764086
49,121.423,1.2698,0.68318,0.94115,0.94496,0.96172,0.98949,0.85871,0.66735,1.32658,0.64649,0.9381,0.000749939,0.000749939,0.000749939
50,123.225,1.31089,0.68646,0.9215,0.95954,0.9548,0.98821,0.78809,0.6367,1.3792,0.68848,0.94787,0.000735792,0.000735792,0.000735792
51,125.071,1.27188,0.67605,0.92295,0.95771,0.97692,0.98886,0.80465,0.67258,1.34357,0.67048,0.94218,0.000721645,0.000721645,0.000721645
52,126.884,1.36611,0.71369,0.97266,0.95547,0.97542,0.98739,0.84552,0.69087,1.30182,0.63901,0.93562,0.000707498,0.000707498,0.000707498
53,128.72,1.31396,0.68425,0.9093,0.97071,0.96402,0.9873,0.84957,0.67342,1.34751,0.66528,0.94838,0.000693351,0.000693351,0.000693351
54,130.482,1.27432,0.68519,0.93095,0.93755,0.97304,0.9848,0.8498,0.66931,1.34202,0.69486,0.95443,0.000679204,0.000679204,0.000679204
55,132.273,1.29586,0.68285,0.92724,0.96137,0.98018,0.98988,0.79911,0.68224,1.3034,0.64505,0.93719,0.000665057,0.000665057,0.000665057
56,134.063,1.35191,0.71192,0.92128,0.97,0.97692,0.9876,0.83319,0.6896,1.3095,0.63317,0.9367,0.000650909,0.000650909,0.000650909
57,135.828,1.26347,0.65602,0.90356,0.95945,0.97793,0.99024,0.80033,0.66308,1.33532,0.66128,0.94076,0.000636762,0.000636762,0.000636762
58,137.612,1.37041,0.73665,0.9333,0.97201,0.98077,0.99129,0.85411,0.69965,1.28367,0.6392,0.93423,0.000622615,0.000622615,0.000622615
59,139.428,1.2785,0.68766,0.91319,0.97,0.97692,0.99064,0.84705,0.68906,1.2785,0.64005,0.93179,0.000608468,0.000608468,0.000608468
60,141.172,1.27196,0.69072,0.92132,0.95308,0.97268,0.98944,0.75559,0.64581,1.37178,0.656,0.95191,0.000594321,0.000594321,0.000594321
61,142.951,1.2997,0.6653,0.89897,0.94955,0.98412,0.98857,0.84104,0.67083,1.28019,0.62239,0.93298,0.000580174,0.000580174,0.000580174
62,144.795,1.40465,0.75356,0.95487,0.97247,0.97845,0.98816,0.86229,0.67834,1.27855,0.62597,0.9338,0.000566027,0.000566027,0.000566027
63,146.583,1.29748,0.71249,0.939,0.95979,0.97957,0.98942,0.86139,0.67609,1.29334,0.63914,0.93737,0.00055188,0.00055188,0.00055188
64,148.391,1.22332,0.65559,0.90098,0.92399,0.97451,0.98864,0.83596,0.67494,1.28936,0.63099,0.93555,0.000537733,0.000537733,0.000537733
65,150.175,1.3313,0.67762,0.92557,0.95247,0.98258,0.9887,0.80495,0.6783,1.2961,0.63786,0.93899,0.000523586,0.000523586,0.000523586
66,151.98,1.22707,0.67234,0.91432,0.97,0.98036,0.98898,0.84413,0.67572,1.28458,0.62524,0.93412,0.000509438,0.000509438,0.000509438
67,153.779,1.302,0.66365,0.91635,0.96863,0.97179,0.98694,0.76087,0.6653,1.32583,0.64655,0.9403,0.000495291,0.000495291,0.000495291
68,155.553,1.26635,0.68342,0.92946,0.96712,0.97931,0.98918,0.81882,0.69107,1.29135,0.62385,0.93379,0.000481144,0.000481144,0.000481144
69,157.332,1.30159,0.67504,0.92216,0.94791,0.9812,0.98767,0.86612,0.71251,1.32677,0.65543,0.94258,0.000466997,0.000466997,0.000466997
70,159.185,1.27112,0.66036,0.91489,0.95028,0.98764,0.98839,0.85847,0.67774,1.31262,0.64441,0.94083,0.00045285,0.00045285,0.00045285
71,161.008,1.33696,0.70308,0.92555,0.97588,0.98352,0.98838,0.85154,0.66557,1.29566,0.62981,0.93929,0.000438703,0.000438703,0.000438703
72,162.795,1.2784,0.67141,0.92663,0.97083,0.98152,0.9889,0.79185,0.67727,1.2831,0.62072,0.93802,0.000424556,0.000424556,0.000424556
73,164.632,1.33639,0.67088,0.92832,0.96525,0.98278,0.98961,0.84438,0.68206,1.30601,0.6122,0.94192,0.000410409,0.000410409,0.000410409
74,166.413,1.27387,0.6553,0.90879,0.96702,0.98163,0.98896,0.84934,0.6738,1.30075,0.6068,0.93834,0.000396262,0.000396262,0.000396262
75,168.227,1.31116,0.66634,0.94345,0.94535,0.98378,0.98831,0.84257,0.6725,1.29551,0.6116,0.9351,0.000382115,0.000382115,0.000382115
76,170.009,1.25999,0.66655,0.90122,0.95848,0.97821,0.98931,0.84932,0.67203,1.29547,0.61632,0.93533,0.000367967,0.000367967,0.000367967
77,171.84,1.21131,0.64547,0.91754,0.95431,0.97569,0.9897,0.81104,0.68807,1.28282,0.60972,0.93119,0.00035382,0.00035382,0.00035382
78,173.671,1.20853,0.63049,0.92246,0.96189,0.96991,0.98938,0.8065,0.68158,1.28332,0.60547,0.93054,0.000339673,0.000339673,0.000339673
79,175.519,1.23363,0.64182,0.90612,0.96847,0.97436,0.98965,0.8558,0.7033,1.28862,0.60993,0.93333,0.000325526,0.000325526,0.000325526
80,177.346,1.20321,0.62874,0.91769,0.97563,0.97821,0.98869,0.81139,0.68984,1.27478,0.60233,0.93351,0.000311379,0.000311379,0.000311379
81,179.154,1.27598,0.63856,0.92069,0.9736,0.97692,0.98659,0.81934,0.68911,1.27541,0.60143,0.93296,0.000297232,0.000297232,0.000297232
82,180.937,1.18458,0.63269,0.88698,0.97225,0.97879,0.98826,0.83349,0.69805,1.27452,0.59689,0.93038,0.000283085,0.000283085,0.000283085
83,182.722,1.19373,0.62752,0.89672,0.97073,0.97949,0.98806,0.86428,0.69233,1.28367,0.59712,0.93272,0.000268938,0.000268938,0.000268938
84,184.552,1.23225,0.62697,0.91844,0.96771,0.98333,0.98621,0.83877,0.693,1.2765,0.60319,0.92968,0.000254791,0.000254791,0.000254791
85,186.347,1.19647,0.62518,0.89178,0.96559,0.97779,0.98815,0.80669,0.69864,1.27922,0.61206,0.9297,0.000240644,0.000240644,0.000240644
